InputID,TargetID
H117p,H116p
H117p,N032p
H117p,N033p
H117p,N035p
H117p,N038p
H117p,N039p
H118p,H068p
H118p,H071p
H118p,H072p
H118p,H116p
H118p,H119p
H118p,H123p
H118p,N035p
H118p,N041p
H118p,N042p
H118p,N044p
H119p,H040p
H119p,H071p
H119p,H072p
H119p,H118p
H119p,H123p
H119p,I184p
H119p,I223p
H119p,N041p
H119p,N042p
H119p,N043p
H123p,H119p
H123p,I223p
H123p,I224p
H123p,N042p
H123p,N043p
H123p,N047p
H123p,O002p
H123p,O004p
H123p,O005p
H123p,O077p
I103p,I104p
I103p,I105p
I103p,I106p
I103p,I107p
I103p,I121p
I103p,I122p
I103p,I124p
I103p,I125p
I103p,I126p
I103p,I152a
I104p,I103p
I104p,I105p
I104p,I106p
I104p,I107p
I104p,I108p
I104p,I109p
I104p,I122p
I104p,I125p
I104p,I127p
I104p,I129p
I105p,H002p
I105p,H011p
I105p,I103p
I105p,I104p
I105p,I106p
I105p,I121p
I105p,I122p
I105p,I124p
I105p,I125p
I105p,I126p
I106p,I103p
I106p,I104p
I106p,I105p
I106p,I107p
I106p,I122p
I106p,I125p
I106p,I126p
I106p,I127p
I106p,I129p
I106p,I152a
I107p,I103p
I107p,I104p
I107p,I106p
I107p,I108p
I107p,I109p
I107p,I125p
I107p,I127p
I107p,I128p
I107p,I129p
I107p,I130p
I108p,I103p
I108p,I104p
I108p,I106p
I108p,I107p
I108p,I109p
I108p,I110p
I108p,I127p
I108p,I128p
I108p,I130p
I108p,I131p
I109p,I104p
I109p,I107p
I109p,I108p
I109p,I110p
I109p,I127p
I109p,I128p
I109p,I129p
I109p,I130p
I109p,I131p
I109p,I133p
I110p,I108p
I110p,I109p
I110p,I127p
I110p,I128p
I110p,I130p
I110p,I131p
I110p,I133p
I110p,I134p
I110p,I135p
I110p,I137p
I112p,I134p
I112p,I135p
I112p,I136p
I112p,I137p
I112p,I138p
I112p,I140p
I112p,I161p
I112p,I162p
I112p,I165p
I112p,I166p
I115p,I112p
I115p,I116c
I115p,I138p
I115p,I140a
I115p,I140p
I115p,I141p
I115p,I142p
I115p,I143p
I115p,I144p
I115p,I168p
I116c,I115p
I116c,I138p
I116c,I140a
I116c,I140p
I116c,I141p
I116c,I142p
I116c,I143p
I116c,I144p
I116c,I145p
I116c,I168p
I120p,I147a
I120p,I148p
I120p,I149p
I120p,I151p
I120p,K203p
I120p,K221p
I120p,K222p
I120p,K223p
I120p,K224p
I120p,K225p
I121p,H002p
I121p,H010p
I121p,H011p
I121p,H013p
I121p,H014p
I121p,I105p
I121p,I122p
I121p,I124p
I121p,I152p
I121p,I154b
I122p,I103p
I122p,I105p
I122p,I106p
I122p,I121p
I122p,I124p
I122p,I125p
I122p,I126p
I122p,I152a
I122p,I152p
I122p,I154b
I124p,H011p
I124p,H013p
I124p,H014p
I124p,I105p
I124p,I121p
I124p,I122p
I124p,I125p
I124p,I126p
I124p,I152p
I124p,I154b
I125p,I105p
I125p,I106p
I125p,I122p
I125p,I124p
I125p,I126p
I125p,I129p
I125p,I152a
I125p,I154b
I125p,I154p
I125p,I155p
I126p,I122p
I126p,I124p
I126p,I125p
I126p,I129p
I126p,I152a
I126p,I152p
I126p,I154a
I126p,I154b
I126p,I154p
I126p,I155p
I127p,I104p
I127p,I106p
I127p,I107p
I127p,I108p
I127p,I109p
I127p,I128p
I127p,I129p
I127p,I130p
I127p,I131p
I127p,I156p
I128p,I108p
I128p,I109p
I128p,I110p
